term,avg_tfidf,score_chi,score_llr,score_emi,vote
abas,0.09948392954173052,155.99347258825182,86.20032156309117,0.005654068248678394,2
aesthet,0.04659256840885189,3569.3043354325164,224.85956861323552,0.012974496127662685,3
aggrand,0.04326485398497056,151.7943735322405,33.95792830584909,0.0018887847397257864,2
ahab,0.05331590605156522,79.42886302932602,41.885202288045924,0.002789688586908572,2
ahora,0.0493247523863367,84.89844626382626,42.727803300688585,0.002329184663522412,2
aht,0.07893024742606249,36.749853434977936,21.489273043327216,0.001415656887428202,2
aktiv,0.0549409046924238,69.79853499957599,52.75897402754265,0.002372407345171378,2
alarma,0.2182110972180955,135.20073055997398,74.31605591965531,0.00489098147398974,2
alcanza,0.053515333775957234,70.99245152370558,42.27903005067852,0.002192117880699801,2
aliado,0.0731781786785694,83.89032579781727,44.33604471283689,0.0029647426179751045,2
alibaba,0.06795534846407528,44.643570335505885,34.443732635956046,0.001345880744667541,2
alim,0.06446711666922053,70.98144023922211,43.09335857284235,0.002146088503473675,2
alkohol,0.06864074911429216,87.8027282204992,60.32322551083936,0.002931613605683017,2
allein,0.05850990705262237,31.06527519394007,18.723624889327432,0.0011694661342892966,2
allig,0.2008537675608225,1338.671086410013,88.15223363468884,0.00480952864242539,3
allora,0.0910334543629398,44.973675739680864,25.51750865500668,0.0017170934573806818,2
amal,0.043903689647366136,2688.294152781109,132.33136901338563,0.007056919722480956,3
amargo,0.07740116348004608,40.436743190268594,22.834378573497144,0.001427836091305925,2
amazingli,0.05236863164348464,7108.177285419735,383.38402995448484,0.022118279128284127,3
americanminut,0.009941889288802587,247.67398400744216,31.005489124650094,0.001117872828400942,2
amur,0.06665958410539707,45.89136788529759,25.70243039216489,0.001709089417179748,2
analysiert,0.10004800891010764,155.7417668162449,84.55183062101547,0.005527667272151838,2
ancora,0.0542614215409554,122.92640396308687,inf,0.004246630191142573,2
andrada,0.05775257713312841,33.152948984402244,19.805950900954254,0.0011542646839815568,2
animaci,0.13821624374202632,46.94177011936669,29.325600191893372,0.0014376905261803267,2
antiterrorist,0.030564795019987993,353.8395754040657,47.78599433195481,0.002880420466093764,2
anunciars,0.042713941714497335,153.91993383448346,85.0214048212381,0.005579136296198438,2
anup,0.19981051392038915,64.22120925303598,35.45824617847245,0.0022912981680357513,2
apathet,0.0508114040245675,32.996045970979914,18.74713865174955,0.0010730446685726014,2
apoyo,0.05571612612645125,75.89111081362881,40.65394646731932,0.00273922574496334,2
appalachian,0.14102309764671975,2877.332812269001,128.41674527274148,0.007109184309791788,3
apprend,0.13602089107909274,35.99078761278576,31.08904285897254,0.0011528375448545234,2
aprovech,0.08467915755738831,58.80228258484272,46.41332519095837,0.0019866913578098053,2
apu,0.2301641161766184,71.80996331935306,51.1616971314521,0.002377227014188184,2
apuesta,0.04569190069079812,86.92739431197113,45.870680923882674,0.003011179049195008,2
