term,avg_tfidf,score_chi,score_llr,score_emi,vote
aesthet,0.04659256840885189,3569.3043354325164,224.85956861323552,0.012974496127662685,3
allig,0.2008537675608225,1338.671086410013,88.15223363468884,0.00480952864242539,3
amal,0.043903689647366136,2688.294152781109,132.33136901338563,0.007056919722480956,3
amazingli,0.05236863164348464,7108.177285419735,383.38402995448484,0.022118279128284127,3
appalachian,0.14102309764671975,2877.332812269001,128.41674527274148,0.007109184309791788,3
aqsa,0.05380834446095197,15268.33338332096,442.3986734159173,0.025780023114398108,3
ariz,0.06376238834853999,216.12692104631265,34.076112455913375,0.0015128592065976711,3
armadillo,0.1221531507644616,999.2004224662379,112.04787499285301,0.006015470025830001,3
arora,0.0491795163253154,186.2906055307984,inf,0.006527821942061959,3
athol,0.04662393017059952,799.015664440156,inf,0.00785529379289924,3
attabpress,0.4840753237047927,221.16853028886837,42.85252879987755,0.0026277649165181273,3
aureu,0.05490520585365447,908.3697272262323,62.080300337968424,0.0029785791508927287,3
autograph,0.04447974510749135,1382.1163859835513,161.79791985820327,0.008995919289722955,3
babi,0.04461147413737509,19064.958804209084,inf,0.05405593122653218,3
backpack,0.04818947505663517,1224.3873036167881,169.16470822613286,0.009570725950524408,3
badger,0.10849505198511396,425.4345000774895,46.37861766756978,0.002463495506192049,3
bamboozl,0.054573101874140516,7150.5489046641505,inf,0.02876018511309361,3
baphomet,0.06824887615821952,1924.7037250064734,112.55780228996845,0.006121763682930418,3
barmaid,0.05435527588562829,288.1499048382606,40.59059723490521,0.0018985177937850429,3
barracuda,0.14452590575309604,473.62407764914576,63.05834841331529,0.003473185572962875,3
basketbal,0.04815726356045527,2825.100278714826,125.22850136985771,0.006798259134914593,3
beard,0.05247750931871308,752.4084017180656,113.90340589632969,0.006130240081830992,3
beatl,0.045670445367973656,4632.093713298194,294.0314083532838,0.01708556412261828,3
bellmor,0.12338681398631085,730.2910944462323,106.29435518123226,0.006393645197511373,3
berkan,0.1767927269182721,261.4381727080093,52.125414534752814,0.0030676655897232275,3
bernish,0.08193403063097097,2348.82994917321,188.5164100039928,0.01115683096876105,3
bigg,0.16721347532161945,343.99609794886123,40.75486301112414,0.002188827655231111,3
biodivers,0.048541887737496014,7076.7302686912535,328.421122526849,0.018923907001178585,3
blackfac,0.057425528908649125,587.9005012167066,76.91384568189982,0.0041705212286183724,3
blasio,0.045747594323995285,715.463049885757,69.70991232337164,0.003934427659764734,3
bleach,0.04700078509341308,1891.4791672461045,181.13476172344662,0.010055404306180456,3
bob,0.04763780180455037,1995.1564238368685,135.09806754151717,0.007322117028019155,3
bog,0.06241329373978813,4758.626270343079,inf,0.01808026246860156,3
boiler,0.05622107968132409,3487.8892483120608,259.4820011150324,0.014876953238091909,3
bollywood,0.07978172995146812,383.7623103664995,71.01464928154904,0.0034769887185518355,3
boorish,0.04773703630478582,1516.642049900883,115.6579375022443,0.006307204282293186,3
borrow,0.09452046975963764,6147.318691348689,286.6965496530722,0.016371473559052958,3
bottomless,0.04154944343661314,389.34618005910477,59.62458873495677,0.0032850074564484857,3
boycott,0.055090880668948065,1201.8979524659578,77.47790799041921,0.003920718841952114,3
bozo,0.1109555028176454,944.7034105675837,95.50946582562055,0.005815984740906968,3
bracket,0.15791610221886218,2740.705392518237,145.87243093523858,0.008128245308516571,3
bradford,0.05129627636037712,427.05474583888946,72.11174998224477,0.0036623189007231522,3
brake,0.054879095810057864,272.4122076648589,59.937915141718435,0.0033635561794557057,3
brendan,0.11292889534094028,1243.5211013425576,85.51118629947628,0.004351931647528236,3
brennan,0.04845194947986902,2993.7981592038263,195.0224673908593,0.010980883501042931,3
brien,0.0497411986061682,2315.82544433269,120.20290999150778,0.006519053920479292,3
brigad,0.05754077346809721,1005.5670745065303,86.57972026273853,0.004655034867672782,3
bristol,0.09255521912236434,3166.51530495025,131.33812811113248,0.007717660335453289,3
briton,0.04183305171555272,6986.672454195244,317.7980769504937,0.018549789661632118,3
brittl,0.06995453189047161,255.97758077748725,inf,0.004238137721341136,3
brochur,0.09950472506613904,364.2858187916578,73.94076697609005,0.0042783145212199,3
bronfein,0.15675301211871026,595.4068198471356,69.24055849377118,0.003959222561772403,3
broze,0.1490247794557698,2373.775112324301,149.94007024196944,0.008191818890773594,3
brute,0.0607668261110438,949.7923716985814,71.83224547130084,0.004009391530723672,3
bumper,0.04208330053189877,3167.569912134661,201.32064006169517,0.011234951304532122,3
busili,0.05077785418864116,912.8254858123421,85.08831284461577,0.004543029791020362,3
butthurt,0.1616716538687238,997.0644488480367,56.334201797781276,0.0027053324385618123,3
bylin,0.042970086975043786,1245.086285723176,inf,0.007992363241952107,3
cabe,0.04589758697380865,200.78186178838908,112.23505916522316,0.00730392492920773,3
cabrera,0.13619070215400975,192.6539097668462,70.16877855467783,0.004310749878828124,3
cadmium,0.07278428207878831,439.2704943256562,93.77901121964508,0.005854321842306993,3
caesar,0.048753079399356435,3504.5191932084363,200.2651724849733,0.011311814201728559,3
caffein,0.04553122277863127,7105.875466236227,inf,0.01631643743936956,3
cage,0.04153445649922058,5568.993967773678,248.46966628223998,0.014195678985838841,3
cairo,0.05149700750742652,683.957218331978,59.73415624391424,0.003344894824803675,3
calebecarma,0.09880088867107864,732.6029636592093,80.43452962799029,0.004302245203036655,3
calendar,0.047131778200057886,852.9908620434693,90.07756174501776,0.004623878728949338,3
calib,0.04538082202945312,2630.107793245159,116.78543887809636,0.00623566356375757,3
calibr,0.05366099357706963,731.4685331431567,53.895736127022346,0.0024283644948016703,3
cancun,0.05412942556585105,906.0783905723783,116.0126991317392,0.006432165635774996,3
canoer,0.13066648597905592,714.0662594483682,101.9728580499845,0.006125194627355252,3
canyon,0.05031317354912968,895.6037779493581,58.705241389983684,0.003262109513900691,3
